content,fecha_publicacion
"@samuel_garcias Ser el esquirol de un narco presidente, claro que se puede. Eres la prueba viviente.",2023-11-24 16:37:14+00:00
@samuel_garcias @chavacanamayor Estas ahi por el presidente no por tus logros eres un titere del viejo del palacio nacional por cierto quien es Glen Zambrano,2023-11-24 16:30:31+00:00
@Dimitrova_Linda @marianardzcant @samuel_garcias Ojala se indignaran asi cuando el presidente les dice mascotitas...,2023-11-24 16:26:54+00:00
"@samuel_garcias Tienes todo para ser presidente de Mexico..!!
Ya te veo como todo un estadista platicando con Biden. https://t.co/damaXFW7Ze",2023-11-24 16:23:31+00:00
@samuel_garcias Solo el piensa q va a ser presidente,2023-11-24 16:19:52+00:00
"@rochaperiodista Pues si, querido Armando esas son sus grandes campanas,  de la corrupta esposa  Mariana Rodriguez  de Samuel  @samuel_garcias   la inutilidad con pies, que deja el estado sin agua, movilidad, seguridad y quiere ser ""presidente"" y lo peor votan por el",2023-11-24 16:18:55+00:00
@NachoRgz @XochitlGalvez @samuel_garcias Ese es el tema mi Querido croquetero a este presidente no le exigen NADA!!!! Ni se equivoca en nada y solo vale su verdad ESO NO ES DEMOCRACIA,2023-11-24 16:18:05+00:00
"@JJDiazMachuca @colosioriojas @samuel_garcias Si Colosio sigue asi de centrado, podria ser una excelente opcion para presidente del 2030...",2023-11-24 16:17:55+00:00
"@samuel_garcias @chavacanamayor Sabes que nunca seras presidente, tu lo que quieres son 6 meses de vacaciones.",2023-11-24 16:16:38+00:00
"@samuel_garcias @chavacanamayor si por visualizaciones fuera, juan guarnizo seria presidente",2023-11-24 16:14:16+00:00
"@samuel_garcias Solo espero que no decepciones a la
Juventud que te sigue, por actualmente la juventud que pudiera identificarse contigo son mayoria y  si logras entrar en sus opciones y realmente tienes intenciones de ser presidente, seras un dolor de cabeza para los otros candidatos...",2023-11-24 16:12:22+00:00
"@samuel_garcias No sabe ni hablar y quiere ser presidente, el bronquito junior",2023-11-24 16:10:04+00:00
"@marcelogzzj @samuel_garcias Es increible, presumes haber oido a ""unos jovenes"" jamas dices cuantos (2, quiza 3) y por ello, Samuel el idiota que no puede con su Estado, sera el Presidente?
Wow, para ser profesor presumes bastante mediocridad y nulo razonamiento.",2023-11-24 16:04:51+00:00
"@samuel_garcias No logras dialogar con la alternancia, si como Gobernador te peleas con todos, como le vas a hacer para ser Presidente de un Mexico con Gobernadores y Camaras que no son NARANJAS. 
https://t.co/UCq9PfNPh8",2023-11-24 16:04:21+00:00
"Titular de Seguridad de NL confirma que usaran a Fuerza Civil y haran todo lo necesario para que Navarro sea Interino, por orden de Juez de Reynosa. https://t.co/1Nn2nk6uWG",2023-11-22 17:02:58+00:00
"@samuel_garcias Este wey se MERECE ser presidente
que no ven que pone #calcasmatonas ???",2023-11-24 16:03:54+00:00
"@samuel_garcias Don Mamarracho usted para empezar no tiene palabra ni honor, les prometio a su gente en NL que terminarias tu mandato y mira ahora le das la espalda y los dejas peor que antes y asi quieres ser el presidente de Mexico? No gracias!",2023-11-24 15:54:18+00:00
"@Chertorivski Si el pendej0 de @samuel_garcias llega a ser presidente,vas a odiar a la Ciudad de Mexico.
Samuel ""hombre"" sin palabra.",2023-11-24 15:52:18+00:00
@Dimitrova_Linda @marianardzcant @samuel_garcias No se que choro su candidata huye de las preguntas que pone los periodistas sobre las privatizaciones y que la gente abuchean e utiliza las desgracias para echar tierra a presidente,2023-11-24 15:51:22+00:00
Hasta se antoja andar de gira con nuestro proximo presidente @samuel_garcias,2023-11-24 15:49:21+00:00
Jajajaja pinche Claudia es un chile seco https://t.co/3ttNKfsIIg,2023-11-24 08:49:38+00:00
"@Mily_Villegas1 @gaviotasterling @marianardzcant @samuel_garcias @FCN_mx @PodermxXmx @redesunidosmx @SocCivilMx @unemexico_ @UnidosPorMx2024 @PC_NL_ Los analfabetos, los ignorantes, los huevones, los porros, etc, todos esos que se echaban la pinta de las escuelas, que nunca hacian la tarea y reprobaban todo, todos esos se sientes ahora en su habitat, representados por uno de su igual como presidente.",2023-11-24 15:44:14+00:00
"@samuel_garcias @chavacanamayor ""A los que se sienten ganados?"" Y tu quieres ser presidente de Mexico? Yo creo que tu si eres ganado y formas parte del ganado de la 4t",2023-11-24 15:41:53+00:00
"@samuel_garcias NUEVA FOTMA DE HACER POLITICA

VA DE PENDEJOTE DEL PRESIDENTE ",2023-11-24 15:40:21+00:00
Ahi los resultados en Nuevo Leon de @samuel_garcias ... y quiere ser presidente... JA !!!,2023-11-24 15:38:19+00:00
"Cuando @samuel_garcias y su esposa vayan y les digan que ""le pregunten a Nuevo Leon"" piensen en este ejemplo. 

Todo lo que dice Samuel es mentira. Nuevo Leon tiene crisis en transporte, agua, seguridad, medio ambiente y gobernabilidad. 

https://t.co/GGbo2I7ZZD",2023-11-23 20:43:18+00:00
@samuel_garcias Ya cualquier I ideota es  o quiere ser presidente!!!!,2023-11-24 15:36:45+00:00
El precandidato unico a Presidente. Mensaje dirigido a militantes y simpatizantes de Movimiento Ciudadano.,2023-11-24 15:30:06+00:00
"@NachoRgz @XochitlGalvez @samuel_garcias Ya deja de decir idioteces, ya el pais esta hasta la madre de tu presidente.
Observa bien las redes sociales, ya no los aguantamos...el chayote he esta haciendo mucho dano...",2023-11-24 15:22:00+00:00
"@samuel_garcias quiere ser presidente ? En serio ? 
Si ganara ? Si sera presidente ? 
Que opinan ? 
@MovCiudadanoMX https://t.co/kZYw6istpn",2023-11-24 15:04:19+00:00
@samuel_garcias @chavacanamayor Jajajajajaja y  este se postulo para presidente  ??? ,2023-11-24 15:03:16+00:00
"Yo super voy con @samuel_garcias ... No va a cambiar a Mexico en un sexenio, pero sin duda sera el que inicie con una nueva generacion que realmente quiere cambiar al pais. Por fin, un presidente que habla de industria aeroespacial, y no anda mamando en bicis ni Tsurus.",2023-11-24 14:46:55+00:00
"@ferbelaunzaran @ClouthierManuel @colosioriojas @samuel_garcias La madurez que demuestra Colosio,habla de una persona ubicada y centrada con altos valores y conviccion definida,el podria ser un gran presidente pero en su momento,lo malo es el partido politico en el que esta MC un esquirol de Morena!ojala y se de cuenta recapacite!!",2023-11-24 14:42:08+00:00
@juaniskin @luis_gj @samuel_garcias @chavacanamayor Los seguidores y likes NO son votos!!! @samuel_garcias Jamas sera presidente de Mexico!,2023-11-24 14:42:07+00:00
